id,text,source,date,true_bucket_for_reference,sentiment_label,sentiment_score
68,Some families still discourage daughters from pursuing higher education.,news_site_A,2023-09-23,negative,negative,-0.4215
155,Annual gender parity index released for primary and secondary education.,forum_discussion,2023-09-24,neutral,neutral,0.0
75,Some families still discourage daughters from pursuing higher education.,news_site_B,2023-09-29,negative,negative,-0.4215
85,Proud to see the gender gap in medical school admissions finally closing.,blog_commentary,2023-10-13,positive,positive,0.4767
43,University publishes data on male and female graduate completion rates.,news_site_A,2023-10-16,neutral,neutral,0.0
77,Why are women still underrepresented in senior faculty positions?,forum_discussion,2023-11-14,negative,neutral,0.0
183,Studies show women-led research teams are producing groundbreaking results.,news_site_B,2023-11-19,positive,neutral,0.0
62,New scholarship program is helping women in rural areas access higher education.,news_site_B,2023-11-27,positive,positive,0.296
99,Women in STEM still face significant pay gaps despite equal qualifications.,news_site_B,2023-11-29,negative,positive,0.1027
177,Proud to see the gender gap in medical school admissions finally closing.,blog_commentary,2023-12-03,positive,positive,0.4767
45,Women in STEM still face significant pay gaps despite equal qualifications.,forum_discussion,2023-12-04,negative,positive,0.1027
71,Report shows literacy rates among women have improved significantly over the decade.,blog_commentary,2023-12-14,positive,positive,0.4767
10,Lack of childcare support is pushing women out of postgraduate research.,blog_commentary,2023-12-18,negative,positive,0.1027
